Title,Author,Genre,Mood,Year
Imagine,John Lennon,Rock,Peaceful,1971
Bohemian Rhapsody,Queen,Rock,Dramatic,1975
Hotel California,Eagles,Rock,Mysterious,1976
Sweet Child O' Mine,Guns N' Roses,Rock,Energetic,1987
Stairway to Heaven,Led Zeppelin,Rock,Epic,1971
Billie Jean,Michael Jackson,Pop,Energetic,1982
Like a Rolling Stone,Bob Dylan,Folk,Thoughtful,1965
Smells Like Teen Spirit,Nirvana,Grunge,Angry,1991
Wonderwall,Oasis,Alternative Rock,Melancholic,1995
Creep,Radiohead,Alternative Rock,Melancholic,1992
Black,Perl Jam,Grunge,Melancholic,1991
Don't Stop Believin',Journey,Rock,Inspiring,1981
Sweet Caroline,Neil Diamond,Pop,Happy,1969
I Will Always Love You,Whitney Houston,R&B,Emotional,1992
My Heart Will Go On,Celine Dion,Pop,Romantic,1997
Yesterday,The Beatles,Rock,Melancholic,1965
Hey Jude,The Beatles,Rock,Comforting,1968
Purple Rain,Prince,Funk,Emotional,1984
Thriller,Michael Jackson,Pop,Spooky,1982
Dancing Queen,ABBA,Disco,Happy,1976
Stayin' Alive,Bee Gees,Disco,Energetic,1977
I Want It That Way,Backstreet Boys,Pop,Romantic,1999
Toxic,Britney Spears,Pop,Seductive,2003
Umbrella,Rihanna,R&B,Melancholic,2007
Rolling in the Deep,Adele,Soul,Powerful,2010
Someone Like You,Adele,Soul,Melancholic,2011
Shape of You,Ed Sheeran,Pop,Romantic,2017
Despacito,Luis Fonsi,Latin,Happy,2017
Old Town Road,Lil Nas X,Country Rap,Fun,2019
Blinding Lights,The Weeknd,Pop,Retro,2019
